dataset,model,probe,outer_fold,selected_C,inner_cv_scores,n_train,n_test,accuracy,macro_f1,git_commit,git_dirty,timestamp,python_version,torch_version,cuda_version,gpu_name,driver_version,embeddings_checkpoint_revision
esc50,ast,standardized_logreg_lbfgs_maxiter2000,1,0.01,0.01:0.9569;0.1:0.9563;1.0:0.9563;10.0:0.9544;100.0:0.9544,1600,400,0.9525,0.9517879767291533,d20e86fe2617d8904ee95010904cdbdf8cfb12eb,False,2026-08-08T19:53:13Z,3.12.13,2.11.0+cu128,12.8,Tesla T4,580.82.07,f826b80d28226b62986cc218e5cec390b1096902
esc50,ast,standardized_logreg_lbfgs_maxiter2000,2,0.1,0.01:0.9481;0.1:0.9513;1.0:0.9494;10.0:0.9481;100.0:0.9500,1600,400,0.99,0.990091503267974,d20e86fe2617d8904ee95010904cdbdf8cfb12eb,False,2026-08-08T19:53:13Z,3.12.13,2.11.0+cu128,12.8,Tesla T4,580.82.07,f826b80d28226b62986cc218e5cec390b1096902
esc50,ast,standardized_logreg_lbfgs_maxiter2000,3,0.1,0.01:0.9556;0.1:0.9587;1.0:0.9556;10.0:0.9550;100.0:0.9556,1600,400,0.955,0.9545648302505889,d20e86fe2617d8904ee95010904cdbdf8cfb12eb,False,2026-08-08T19:53:13Z,3.12.13,2.11.0+cu128,12.8,Tesla T4,580.82.07,f826b80d28226b62986cc218e5cec390b1096902
esc50,ast,standardized_logreg_lbfgs_maxiter2000,4,0.01,0.01:0.9513;0.1:0.9512;1.0:0.9506;10.0:0.9487;100.0:0.9487,1600,400,0.9725,0.9722824463118581,d20e86fe2617d8904ee95010904cdbdf8cfb12eb,False,2026-08-08T19:53:13Z,3.12.13,2.11.0+cu128,12.8,Tesla T4,580.82.07,f826b80d28226b62986cc218e5cec390b1096902
esc50,ast,standardized_logreg_lbfgs_maxiter2000,5,1.0,0.01:0.9606;0.1:0.9600;1.0:0.9606;10.0:0.9575;100.0:0.9581,1600,400,0.9375,0.934251633986928,d20e86fe2617d8904ee95010904cdbdf8cfb12eb,False,2026-08-08T19:53:13Z,3.12.13,2.11.0+cu128,12.8,Tesla T4,580.82.07,f826b80d28226b62986cc218e5cec390b1096902
esc50,laion_clap,standardized_logreg_lbfgs_maxiter2000,1,0.01,0.01:0.9731;0.1:0.9713;1.0:0.9675;10.0:0.9669;100.0:0.9631,1600,400,0.97,0.969310924369748,d20e86fe2617d8904ee95010904cdbdf8cfb12eb,False,2026-08-08T19:53:13Z,3.12.13,2.11.0+cu128,12.8,Tesla T4,580.82.07,8fa0f1c6d0433df6e97c127f64b2a1d6c0dcda8a
esc50,laion_clap,standardized_logreg_lbfgs_maxiter2000,2,0.01,0.01:0.9669;0.1:0.9650;1.0:0.9637;10.0:0.9531;100.0:0.9512,1600,400,0.98,0.9800284780578897,d20e86fe2617d8904ee95010904cdbdf8cfb12eb,False,2026-08-08T19:53:13Z,3.12.13,2.11.0+cu128,12.8,Tesla T4,580.82.07,8fa0f1c6d0433df6e97c127f64b2a1d6c0dcda8a
esc50,laion_clap,standardized_logreg_lbfgs_maxiter2000,3,0.01,0.01:0.9694;0.1:0.9656;1.0:0.9631;10.0:0.9544;100.0:0.9506,1600,400,0.9625,0.9624716693695022,d20e86fe2617d8904ee95010904cdbdf8cfb12eb,False,2026-08-08T19:53:13Z,3.12.13,2.11.0+cu128,12.8,Tesla T4,580.82.07,8fa0f1c6d0433df6e97c127f64b2a1d6c0dcda8a
esc50,laion_clap,standardized_logreg_lbfgs_maxiter2000,4,0.01,0.01:0.9712;0.1:0.9688;1.0:0.9650;10.0:0.9594;100.0:0.9569,1600,400,0.98,0.9799411764705883,d20e86fe2617d8904ee95010904cdbdf8cfb12eb,False,2026-08-08T19:53:13Z,3.12.13,2.11.0+cu128,12.8,Tesla T4,580.82.07,8fa0f1c6d0433df6e97c127f64b2a1d6c0dcda8a
esc50,laion_clap,standardized_logreg_lbfgs_maxiter2000,5,0.1,0.01:0.9681;0.1:0.9712;1.0:0.9694;10.0:0.9681;100.0:0.9631,1600,400,0.9675,0.9668284946907238,d20e86fe2617d8904ee95010904cdbdf8cfb12eb,False,2026-08-08T19:53:13Z,3.12.13,2.11.0+cu128,12.8,Tesla T4,580.82.07,8fa0f1c6d0433df6e97c127f64b2a1d6c0dcda8a
esc50,panns_cnn14,standardized_logreg_lbfgs_maxiter2000,1,1.0,0.01:0.9113;0.1:0.9131;1.0:0.9137;10.0:0.9125;100.0:0.9094,1600,400,0.915,0.9140644566991315,d20e86fe2617d8904ee95010904cdbdf8cfb12eb,False,2026-08-08T19:53:13Z,3.12.13,2.11.0+cu128,12.8,Tesla T4,580.82.07,zenodo-3987831 (md5 541141fa2ee191a88f24a3219fff024e)
esc50,panns_cnn14,standardized_logreg_lbfgs_maxiter2000,2,0.01,0.01:0.9125;0.1:0.9119;1.0:0.9087;10.0:0.9044;100.0:0.9025,1600,400,0.9325,0.9321298608512231,d20e86fe2617d8904ee95010904cdbdf8cfb12eb,False,2026-08-08T19:53:13Z,3.12.13,2.11.0+cu128,12.8,Tesla T4,580.82.07,zenodo-3987831 (md5 541141fa2ee191a88f24a3219fff024e)
esc50,panns_cnn14,standardized_logreg_lbfgs_maxiter2000,3,1.0,0.01:0.9125;0.1:0.9206;1.0:0.9238;10.0:0.9163;100.0:0.9137,1600,400,0.9175,0.9169850038536268,d20e86fe2617d8904ee95010904cdbdf8cfb12eb,False,2026-08-08T19:53:13Z,3.12.13,2.11.0+cu128,12.8,Tesla T4,580.82.07,zenodo-3987831 (md5 541141fa2ee191a88f24a3219fff024e)
esc50,panns_cnn14,standardized_logreg_lbfgs_maxiter2000,4,0.01,0.01:0.9087;0.1:0.9081;1.0:0.9075;10.0:0.9050;100.0:0.8994,1600,400,0.94,0.9400470784805149,d20e86fe2617d8904ee95010904cdbdf8cfb12eb,False,2026-08-08T19:53:13Z,3.12.13,2.11.0+cu128,12.8,Tesla T4,580.82.07,zenodo-3987831 (md5 541141fa2ee191a88f24a3219fff024e)
esc50,panns_cnn14,standardized_logreg_lbfgs_maxiter2000,5,0.1,0.01:0.9137;0.1:0.9138;1.0:0.9112;10.0:0.9094;100.0:0.9069,1600,400,0.9075,0.904102064258411,d20e86fe2617d8904ee95010904cdbdf8cfb12eb,False,2026-08-08T19:53:13Z,3.12.13,2.11.0+cu128,12.8,Tesla T4,580.82.07,zenodo-3987831 (md5 541141fa2ee191a88f24a3219fff024e)
esc50,beats,standardized_logreg_lbfgs_maxiter2000,1,1.0,0.01:0.9550;0.1:0.9594;1.0:0.9612;10.0:0.9544;100.0:0.9544,1600,400,0.95,0.9475754601435716,d20e86fe2617d8904ee95010904cdbdf8cfb12eb,False,2026-08-08T19:53:13Z,3.12.13,2.11.0+cu128,12.8,Tesla T4,580.82.07,082fb1849d55bef1ee52ee8d8910b3adc69d4bc8
esc50,beats,standardized_logreg_lbfgs_maxiter2000,2,0.1,0.01:0.9513;0.1:0.9569;1.0:0.9569;10.0:0.9556;100.0:0.9550,1600,400,0.9575,0.9572076514816453,d20e86fe2617d8904ee95010904cdbdf8cfb12eb,False,2026-08-08T19:53:13Z,3.12.13,2.11.0+cu128,12.8,Tesla T4,580.82.07,082fb1849d55bef1ee52ee8d8910b3adc69d4bc8
esc50,beats,standardized_logreg_lbfgs_maxiter2000,3,0.01,0.01:0.9537;0.1:0.9531;1.0:0.9525;10.0:0.9500;100.0:0.9494,1600,400,0.965,0.9649260670530019,d20e86fe2617d8904ee95010904cdbdf8cfb12eb,False,2026-08-08T19:53:13Z,3.12.13,2.11.0+cu128,12.8,Tesla T4,580.82.07,082fb1849d55bef1ee52ee8d8910b3adc69d4bc8
esc50,beats,standardized_logreg_lbfgs_maxiter2000,4,0.1,0.01:0.9469;0.1:0.9475;1.0:0.9469;10.0:0.9462;100.0:0.9462,1600,400,0.985,0.9847605042016806,d20e86fe2617d8904ee95010904cdbdf8cfb12eb,False,2026-08-08T19:53:13Z,3.12.13,2.11.0+cu128,12.8,Tesla T4,580.82.07,082fb1849d55bef1ee52ee8d8910b3adc69d4bc8
esc50,beats,standardized_logreg_lbfgs_maxiter2000,5,1.0,0.01:0.9612;0.1:0.9600;1.0:0.9625;10.0:0.9544;100.0:0.9544,1600,400,0.95,0.9496623667010664,d20e86fe2617d8904ee95010904cdbdf8cfb12eb,False,2026-08-08T19:53:13Z,3.12.13,2.11.0+cu128,12.8,Tesla T4,580.82.07,082fb1849d55bef1ee52ee8d8910b3adc69d4bc8
esc50,ms_clap,standardized_logreg_lbfgs_maxiter2000,1,0.01,0.01:0.9750;0.1:0.9750;1.0:0.9731;10.0:0.9731;100.0:0.9731,1600,400,0.985,0.9849509803921569,d20e86fe2617d8904ee95010904cdbdf8cfb12eb,False,2026-08-08T19:53:13Z,3.12.13,2.11.0+cu128,12.8,Tesla T4,580.82.07,c47d441165daa21986ead0850660917636a81775
esc50,ms_clap,standardized_logreg_lbfgs_maxiter2000,2,0.01,0.01:0.9800;0.1:0.9788;1.0:0.9775;10.0:0.9719;100.0:0.9719,1600,400,0.985,0.9850382819794585,d20e86fe2617d8904ee95010904cdbdf8cfb12eb,False,2026-08-08T19:53:13Z,3.12.13,2.11.0+cu128,12.8,Tesla T4,580.82.07,c47d441165daa21986ead0850660917636a81775
esc50,ms_clap,standardized_logreg_lbfgs_maxiter2000,3,0.01,0.01:0.9831;0.1:0.9813;1.0:0.9813;10.0:0.9813;100.0:0.9813,1600,400,0.9725,0.9711720768052037,d20e86fe2617d8904ee95010904cdbdf8cfb12eb,False,2026-08-08T19:53:13Z,3.12.13,2.11.0+cu128,12.8,Tesla T4,580.82.07,c47d441165daa21986ead0850660917636a81775
esc50,ms_clap,standardized_logreg_lbfgs_maxiter2000,4,0.01,0.01:0.9756;0.1:0.9756;1.0:0.9737;10.0:0.9712;100.0:0.9706,1600,400,0.985,0.9848814192343605,d20e86fe2617d8904ee95010904cdbdf8cfb12eb,False,2026-08-08T19:53:13Z,3.12.13,2.11.0+cu128,12.8,Tesla T4,580.82.07,c47d441165daa21986ead0850660917636a81775
esc50,ms_clap,standardized_logreg_lbfgs_maxiter2000,5,0.1,0.01:0.9762;0.1:0.9781;1.0:0.9775;10.0:0.9775;100.0:0.9781,1600,400,0.97,0.9684826546003018,d20e86fe2617d8904ee95010904cdbdf8cfb12eb,False,2026-08-08T19:53:13Z,3.12.13,2.11.0+cu128,12.8,Tesla T4,580.82.07,c47d441165daa21986ead0850660917636a81775
