model,dtype,dataset,smoke,batch_size,status,params_millions,gmacs_fvcore_b1,gmacs_input,note,latency_ms_per_clip_median,latency_ms_per_clip_p25,latency_ms_per_clip_p75,n_timed_iterations,n_repeats,energy_total_j,clips_processed,energy_window_s,n_power_samples,idle_power_w,j_per_clip_total,j_per_clip_dynamic,gpu_temp_before_c,gpu_temp_after_c,git_commit,git_dirty,timestamp,python_version,torch_version,cuda_version,gpu_name,driver_version
ast,fp32,esc50,False,1,ok,86.187,103.466,"fbank[B,1024,128] (FE output; FE itself is CPU-side, not in GMACs)",,82.72605449974435,81.36420099981478,84.11184199985655,300.0,3.0,1999.514077674185,339.0,30.070258141000068,284.0,9.975909707292846,5.898271615558068,5.0133802288630696,60.0,69.0,93eaacb9390a0eb42e3266021e0c905a04f2fc02,False,2026-08-08T20:18:30Z,3.12.13,2.11.0+cu128,12.8,Tesla T4,580.82.07
ast,fp32,esc50,False,32,ok,86.187,103.466,"fbank[B,1024,128] (FE output; FE itself is CPU-side, not in GMACs)",,99.7801184062439,99.38829490624812,100.4903778749906,300.0,3.0,2025.7456384436712,320.0,31.850672538000254,301.0,9.975909707292846,6.330455120136472,5.3375193909000895,77.0,77.0,93eaacb9390a0eb42e3266021e0c905a04f2fc02,False,2026-08-08T20:18:30Z,3.12.13,2.11.0+cu128,12.8,Tesla T4,580.82.07
ast,fp16,esc50,False,1,ok,86.187,103.466,"fbank[B,1024,128] (FE output; FE itself is CPU-side, not in GMACs)",,20.257384000160528,19.926218999898992,21.05665700037207,300.0,3.0,2137.4877869005886,1451.0,30.01296090300002,284.0,9.975909707292846,1.4731135678157055,1.2667685726283597,78.0,77.0,93eaacb9390a0eb42e3266021e0c905a04f2fc02,False,2026-08-08T20:18:30Z,3.12.13,2.11.0+cu128,12.8,Tesla T4,580.82.07
ast,fp16,esc50,False,32,ok,86.187,103.466,"fbank[B,1024,128] (FE output; FE itself is CPU-side, not in GMACs)",,25.180973046872168,24.866094468734445,25.752799968728368,300.0,3.0,1843.9365577598041,1184.0,30.091848045000006,284.0,9.975909707292846,1.557378849459294,1.3038369921767798,77.0,77.0,93eaacb9390a0eb42e3266021e0c905a04f2fc02,False,2026-08-08T20:18:30Z,3.12.13,2.11.0+cu128,12.8,Tesla T4,580.82.07
laion_clap,fp32,esc50,False,1,ok,27.534,5.933,"mel[1, 1, 1001, 64] (FE output; FE itself is CPU-side, not in GMACs)",,44.511531999887666,43.07308999977977,48.27924599976541,300.0,3.0,1196.3555929756214,614.0,30.031815829999687,280.0,9.975909707292846,1.9484618778104583,1.4605226545757273,73.0,76.0,93eaacb9390a0eb42e3266021e0c905a04f2fc02,False,2026-08-08T20:18:30Z,3.12.13,2.11.0+cu128,12.8,Tesla T4,580.82.07
laion_clap,fp32,esc50,False,32,ok,27.534,5.933,"mel[1, 1, 1001, 64] (FE output; FE itself is CPU-side, not in GMACs)",,36.31083501562671,35.22760049997942,38.42632449999428,300.0,3.0,1487.8125026811738,800.0,30.512075185999493,289.0,9.975909707292846,1.8597656283514672,1.4792834945543905,78.0,77.0,93eaacb9390a0eb42e3266021e0c905a04f2fc02,False,2026-08-08T20:18:30Z,3.12.13,2.11.0+cu128,12.8,Tesla T4,580.82.07
laion_clap,fp16,esc50,False,1,ok,27.534,5.933,"mel[1, 1, 1001, 64] (FE output; FE itself is CPU-side, not in GMACs)",,44.94757399970695,43.78915000052075,46.715173999473336,300.0,3.0,1102.1511673332006,601.0,30.03985034300058,281.0,9.975909707292846,1.833862175263229,1.3352351625471497,74.0,77.0,93eaacb9390a0eb42e3266021e0c905a04f2fc02,False,2026-08-08T20:18:30Z,3.12.13,2.11.0+cu128,12.8,Tesla T4,580.82.07
laion_clap,fp16,esc50,False,32,ok,27.534,5.933,"mel[1, 1, 1001, 64] (FE output; FE itself is CPU-side, not in GMACs)",,31.677573671871073,30.86297843748298,33.48505656251177,300.0,3.0,1158.8041423959985,896.0,30.228775419999693,284.0,9.975909707292846,1.293308194638391,0.9567462145580894,79.0,77.0,93eaacb9390a0eb42e3266021e0c905a04f2fc02,False,2026-08-08T20:18:30Z,3.12.13,2.11.0+cu128,12.8,Tesla T4,580.82.07
panns_cnn14,fp32,esc50,False,1,ok,81.837,10.512,"waveform[B,160000]@32kHz (log-mel frontend in-graph)",,12.665461500091624,12.586945999828458,12.849759999880916,300.0,3.0,1931.1260661457643,2311.0,30.005832617000124,284.0,9.975909707292846,0.8356235682153892,0.70609718272022,81.0,76.0,93eaacb9390a0eb42e3266021e0c905a04f2fc02,False,2026-08-08T20:18:30Z,3.12.13,2.11.0+cu128,12.8,Tesla T4,580.82.07
panns_cnn14,fp32,esc50,False,32,ok,81.837,10.512,"waveform[B,160000]@32kHz (log-mel frontend in-graph)",,4.892931374996579,4.733244281254656,5.042200968773614,300.0,3.0,1956.5082843880718,5920.0,30.02930950100017,279.0,9.975909707292846,0.33049126425474185,0.2798882777421863,78.0,77.0,93eaacb9390a0eb42e3266021e0c905a04f2fc02,False,2026-08-08T20:18:30Z,3.12.13,2.11.0+cu128,12.8,Tesla T4,580.82.07
panns_cnn14,fp16,esc50,False,1,measure_error,81.837,10.512,"waveform[B,160000]@32kHz (log-mel frontend in-graph)",ValueError: panns_cnn14: NaN/Inf in embeddings,,,,,,,,,,,,,,,93eaacb9390a0eb42e3266021e0c905a04f2fc02,False,2026-08-08T20:18:30Z,3.12.13,2.11.0+cu128,12.8,Tesla T4,580.82.07
panns_cnn14,fp16,esc50,False,32,measure_error,81.837,10.512,"waveform[B,160000]@32kHz (log-mel frontend in-graph)",ValueError: panns_cnn14: NaN/Inf in embeddings,,,,,,,,,,,,,,,93eaacb9390a0eb42e3266021e0c905a04f2fc02,False,2026-08-08T20:18:30Z,3.12.13,2.11.0+cu128,12.8,Tesla T4,580.82.07
beats,fp32,esc50,False,1,ok,90.312,23.561,"waveform[B,80000]@16kHz (official fbank preprocess in path)",,24.04591699996672,22.930494000320323,24.70185099991795,300.0,3.0,1937.5700675406827,1200.0,30.012933057999362,284.0,9.975909707292846,1.614641722950569,1.3651364644192137,76.0,78.0,93eaacb9390a0eb42e3266021e0c905a04f2fc02,False,2026-08-08T20:18:30Z,3.12.13,2.11.0+cu128,12.8,Tesla T4,580.82.07
beats,fp32,esc50,False,32,ok,90.312,23.561,"waveform[B,80000]@16kHz (official fbank preprocess in path)",,21.613299500018,21.489542000011852,21.74633196875675,300.0,3.0,1981.7586607379499,1408.0,30.465923065000425,288.0,9.975909707292846,1.4074990488195667,1.1916430135597835,77.0,77.0,93eaacb9390a0eb42e3266021e0c905a04f2fc02,False,2026-08-08T20:18:30Z,3.12.13,2.11.0+cu128,12.8,Tesla T4,580.82.07
