model,model_display,dtype,batch_size,status,note,params_millions,gmacs_fvcore_b1,latency_ms_per_clip_median,latency_ms_per_clip_p25,latency_ms_per_clip_p75,j_per_clip_total,j_per_clip_dynamic,idle_power_w,clips_processed,energy_window_s,n_power_samples,gpu_temp_before_c,gpu_temp_after_c
ast,AST,fp16,1,ok,,86.187,103.466,20.257384000160528,19.926218999898992,21.05665700037207,1.4731135678157057,1.2667685726283595,9.975909707292846,1451.0,30.01296090300002,284.0,78.0,77.0
ast,AST,fp16,32,ok,,86.187,103.466,25.180973046872168,24.866094468734445,25.752799968728368,1.557378849459294,1.3038369921767798,9.975909707292846,1184.0,30.09184804500001,284.0,77.0,77.0
ast,AST,fp32,1,ok,,86.187,103.466,82.72605449974435,81.36420099981478,84.11184199985655,5.898271615558068,5.0133802288630696,9.975909707292846,339.0,30.070258141000068,284.0,60.0,69.0
ast,AST,fp32,32,ok,,86.187,103.466,99.7801184062439,99.38829490624812,100.4903778749906,6.330455120136472,5.3375193909000895,9.975909707292846,320.0,31.850672538000257,301.0,77.0,77.0
laion_clap,LAION-CLAP,fp16,1,ok,,27.534,5.933,44.94757399970695,43.78915000052075,46.715173999473336,1.833862175263229,1.3352351625471497,9.975909707292846,601.0,30.03985034300058,281.0,74.0,77.0
laion_clap,LAION-CLAP,fp16,32,ok,,27.534,5.933,31.677573671871073,30.86297843748298,33.48505656251177,1.293308194638391,0.9567462145580894,9.975909707292846,896.0,30.228775419999693,284.0,79.0,77.0
laion_clap,LAION-CLAP,fp32,1,ok,,27.534,5.933,44.511531999887666,43.07308999977977,48.27924599976541,1.9484618778104583,1.4605226545757273,9.975909707292846,614.0,30.031815829999687,280.0,73.0,76.0
laion_clap,LAION-CLAP,fp32,32,ok,,27.534,5.933,36.31083501562671,35.22760049997942,38.42632449999428,1.8597656283514672,1.4792834945543905,9.975909707292846,800.0,30.512075185999493,289.0,78.0,77.0
panns_cnn14,PANNs CNN14,fp16,1,measure_error,ValueError: panns_cnn14: NaN/Inf in embeddings,81.837,10.512,,,,,,,,,,,
panns_cnn14,PANNs CNN14,fp16,32,measure_error,ValueError: panns_cnn14: NaN/Inf in embeddings,81.837,10.512,,,,,,,,,,,
panns_cnn14,PANNs CNN14,fp32,1,ok,,81.837,10.512,12.665461500091624,12.586945999828458,12.849759999880916,0.8356235682153892,0.70609718272022,9.975909707292846,2311.0,30.005832617000124,284.0,81.0,76.0
panns_cnn14,PANNs CNN14,fp32,32,ok,,81.837,10.512,4.892931374996579,4.733244281254656,5.042200968773614,0.3304912642547418,0.2798882777421863,9.975909707292846,5920.0,30.02930950100017,279.0,78.0,77.0
beats,BEATs,fp16,1,measure_error,ValueError: beats: NaN/Inf in embeddings,90.312,,,,,,,,,,,,
beats,BEATs,fp16,32,measure_error,ValueError: beats: NaN/Inf in embeddings,90.312,,,,,,,,,,,,
beats,BEATs,fp32,1,ok,,90.312,23.561,24.04591699996672,22.930494000320323,24.70185099991795,1.614641722950569,1.3651364644192137,9.975909707292846,1200.0,30.01293305799936,284.0,76.0,78.0
beats,BEATs,fp32,32,ok,,90.312,23.561,21.613299500018,21.489542000011852,21.74633196875675,1.407499048819567,1.1916430135597835,9.975909707292846,1408.0,30.465923065000425,288.0,77.0,77.0
ms_clap,MS-CLAP,fp16,1,measure_error,ValueError: ms_clap: NaN/Inf in embeddings,33.162,6.98,,,,,,,,,,,
ms_clap,MS-CLAP,fp16,32,measure_error,ValueError: ms_clap: NaN/Inf in embeddings,33.162,6.98,,,,,,,,,,,
ms_clap,MS-CLAP,fp32,1,ok,,33.162,6.98,12.335851000443654,11.795334999987972,14.921427999979642,0.8563841632960663,0.7254711356319068,9.975909707292846,2287.0,30.012109476999285,285.0,76.0,79.0
ms_clap,MS-CLAP,fp32,32,ok,,33.162,6.98,9.438935749997768,9.194641343754029,9.544629937494165,0.6066252330949902,0.513154332353245,9.975909707292846,3232.0,30.282747143999583,284.0,77.0,77.0
