dataset,model,template_id,prompt_template,fold,n_clips,accuracy,macro_f1,weak_zero_shot,audio_embedding_source,checkpoint_revision,git_commit,git_dirty,timestamp,python_version,torch_version,cuda_version,gpu_name,driver_version
esc50,laion_clap,primary,a sound of {class_name},1,400,0.8175,0.804441000423962,True,cache,8fa0f1c6d0433df6e97c127f64b2a1d6c0dcda8a,d20e86fe2617d8904ee95010904cdbdf8cfb12eb,False,2026-08-08T20:06:09Z,3.12.13,2.11.0+cu128,12.8,Tesla T4,580.82.07
esc50,laion_clap,primary,a sound of {class_name},2,400,0.785,0.7582975167662367,True,cache,8fa0f1c6d0433df6e97c127f64b2a1d6c0dcda8a,d20e86fe2617d8904ee95010904cdbdf8cfb12eb,False,2026-08-08T20:06:09Z,3.12.13,2.11.0+cu128,12.8,Tesla T4,580.82.07
esc50,laion_clap,primary,a sound of {class_name},3,400,0.8225,0.8018168918214174,True,cache,8fa0f1c6d0433df6e97c127f64b2a1d6c0dcda8a,d20e86fe2617d8904ee95010904cdbdf8cfb12eb,False,2026-08-08T20:06:09Z,3.12.13,2.11.0+cu128,12.8,Tesla T4,580.82.07
esc50,laion_clap,primary,a sound of {class_name},4,400,0.8375,0.8115993961692574,True,cache,8fa0f1c6d0433df6e97c127f64b2a1d6c0dcda8a,d20e86fe2617d8904ee95010904cdbdf8cfb12eb,False,2026-08-08T20:06:09Z,3.12.13,2.11.0+cu128,12.8,Tesla T4,580.82.07
esc50,laion_clap,primary,a sound of {class_name},5,400,0.8125,0.7915838590983186,True,cache,8fa0f1c6d0433df6e97c127f64b2a1d6c0dcda8a,d20e86fe2617d8904ee95010904cdbdf8cfb12eb,False,2026-08-08T20:06:09Z,3.12.13,2.11.0+cu128,12.8,Tesla T4,580.82.07
esc50,laion_clap,alternative,this is the sound of {class_name},1,400,0.8525,0.8306807826160767,True,cache,8fa0f1c6d0433df6e97c127f64b2a1d6c0dcda8a,d20e86fe2617d8904ee95010904cdbdf8cfb12eb,False,2026-08-08T20:06:09Z,3.12.13,2.11.0+cu128,12.8,Tesla T4,580.82.07
esc50,laion_clap,alternative,this is the sound of {class_name},2,400,0.825,0.8030568490019425,True,cache,8fa0f1c6d0433df6e97c127f64b2a1d6c0dcda8a,d20e86fe2617d8904ee95010904cdbdf8cfb12eb,False,2026-08-08T20:06:09Z,3.12.13,2.11.0+cu128,12.8,Tesla T4,580.82.07
esc50,laion_clap,alternative,this is the sound of {class_name},3,400,0.84,0.8209387945074174,True,cache,8fa0f1c6d0433df6e97c127f64b2a1d6c0dcda8a,d20e86fe2617d8904ee95010904cdbdf8cfb12eb,False,2026-08-08T20:06:09Z,3.12.13,2.11.0+cu128,12.8,Tesla T4,580.82.07
esc50,laion_clap,alternative,this is the sound of {class_name},4,400,0.8775,0.8596245192118122,True,cache,8fa0f1c6d0433df6e97c127f64b2a1d6c0dcda8a,d20e86fe2617d8904ee95010904cdbdf8cfb12eb,False,2026-08-08T20:06:09Z,3.12.13,2.11.0+cu128,12.8,Tesla T4,580.82.07
esc50,laion_clap,alternative,this is the sound of {class_name},5,400,0.86,0.8414191142758918,True,cache,8fa0f1c6d0433df6e97c127f64b2a1d6c0dcda8a,d20e86fe2617d8904ee95010904cdbdf8cfb12eb,False,2026-08-08T20:06:09Z,3.12.13,2.11.0+cu128,12.8,Tesla T4,580.82.07
esc50,ms_clap,primary,a sound of {class_name},1,400,0.9475,0.9458721823412226,True,cache,c47d441165daa21986ead0850660917636a81775,d20e86fe2617d8904ee95010904cdbdf8cfb12eb,False,2026-08-08T20:06:09Z,3.12.13,2.11.0+cu128,12.8,Tesla T4,580.82.07
esc50,ms_clap,primary,a sound of {class_name},2,400,0.9625,0.9626534370715956,True,cache,c47d441165daa21986ead0850660917636a81775,d20e86fe2617d8904ee95010904cdbdf8cfb12eb,False,2026-08-08T20:06:09Z,3.12.13,2.11.0+cu128,12.8,Tesla T4,580.82.07
esc50,ms_clap,primary,a sound of {class_name},3,400,0.945,0.9411356607302901,True,cache,c47d441165daa21986ead0850660917636a81775,d20e86fe2617d8904ee95010904cdbdf8cfb12eb,False,2026-08-08T20:06:09Z,3.12.13,2.11.0+cu128,12.8,Tesla T4,580.82.07
esc50,ms_clap,primary,a sound of {class_name},4,400,0.965,0.9647257869409571,True,cache,c47d441165daa21986ead0850660917636a81775,d20e86fe2617d8904ee95010904cdbdf8cfb12eb,False,2026-08-08T20:06:09Z,3.12.13,2.11.0+cu128,12.8,Tesla T4,580.82.07
esc50,ms_clap,primary,a sound of {class_name},5,400,0.93,0.9250033227866045,True,cache,c47d441165daa21986ead0850660917636a81775,d20e86fe2617d8904ee95010904cdbdf8cfb12eb,False,2026-08-08T20:06:09Z,3.12.13,2.11.0+cu128,12.8,Tesla T4,580.82.07
esc50,ms_clap,alternative,this is the sound of {class_name},1,400,0.94,0.935774199312899,True,cache,c47d441165daa21986ead0850660917636a81775,d20e86fe2617d8904ee95010904cdbdf8cfb12eb,False,2026-08-08T20:06:09Z,3.12.13,2.11.0+cu128,12.8,Tesla T4,580.82.07
esc50,ms_clap,alternative,this is the sound of {class_name},2,400,0.9625,0.9631179921243862,True,cache,c47d441165daa21986ead0850660917636a81775,d20e86fe2617d8904ee95010904cdbdf8cfb12eb,False,2026-08-08T20:06:09Z,3.12.13,2.11.0+cu128,12.8,Tesla T4,580.82.07
esc50,ms_clap,alternative,this is the sound of {class_name},3,400,0.925,0.9202117396221584,True,cache,c47d441165daa21986ead0850660917636a81775,d20e86fe2617d8904ee95010904cdbdf8cfb12eb,False,2026-08-08T20:06:09Z,3.12.13,2.11.0+cu128,12.8,Tesla T4,580.82.07
esc50,ms_clap,alternative,this is the sound of {class_name},4,400,0.9425,0.9407929918378835,True,cache,c47d441165daa21986ead0850660917636a81775,d20e86fe2617d8904ee95010904cdbdf8cfb12eb,False,2026-08-08T20:06:09Z,3.12.13,2.11.0+cu128,12.8,Tesla T4,580.82.07
esc50,ms_clap,alternative,this is the sound of {class_name},5,400,0.9225,0.9153646843925481,True,cache,c47d441165daa21986ead0850660917636a81775,d20e86fe2617d8904ee95010904cdbdf8cfb12eb,False,2026-08-08T20:06:09Z,3.12.13,2.11.0+cu128,12.8,Tesla T4,580.82.07
